Sorted sequence: 
17   	000000000 00000000 00000000 0010001  2
-32   	100000000 00000000 00000000 0100000  2
19   	000000000 00000000 00000000 0010011  3
39   	000000000 00000000 00000000 0100111  4

Sorted sequence: 
56   	000000000 00000000 00000000 0111000  3
-18   	100000000 00000000 00000000 0010010  3
-11   	100000000 00000000 00000000 0001011  4
-25   	100000000 00000000 00000000 0011001  4
-84   	100000000 00000000 00000000 1010100  4
-21   	100000000 00000000 00000000 0010101  4
63   	000000000 00000000 00000000 0111111  6
-62   	100000000 00000000 00000000 0111110  6

Sorted sequence: 
0   	000000000 00000000 00000000 0000000  0
21   	000000000 00000000 00000000 0010101  3
70   	000000000 00000000 00000000 1000110  3
-17   	100000000 00000000 00000000 0010001  3
44   	000000000 00000000 00000000 0101100  3
-19   	100000000 00000000 00000000 0010011  4
60   	000000000 00000000 00000000 0111100  4
-38   	100000000 00000000 00000000 0100110  4
27   	000000000 00000000 00000000 0011011  4
-26   	100000000 00000000 00000000 0011010  4
-37   	100000000 00000000 00000000 0100101  4
-29   	100000000 00000000 00000000 0011101  5
94   	000000000 00000000 00000000 1011110  5
62   	000000000 00000000 00000000 0111110  5
63   	000000000 00000000 00000000 0111111  6
-31   	100000000 00000000 00000000 0011111  6

Sorted sequence: 
4   	000000000 00000000 00000000 0000100  1
8   	000000000 00000000 00000000 0001000  1
1   	000000000 00000000 00000000 0000001  1
5   	000000000 00000000 00000000 0000101  2
33   	000000000 00000000 00000000 0100001  2
12   	000000000 00000000 00000000 0001100  2
10   	000000000 00000000 00000000 0001010  2
5   	000000000 00000000 00000000 0000101  2
10   	000000000 00000000 00000000 0001010  2
-8   	100000000 00000000 00000000 0001000  2
9   	000000000 00000000 00000000 0001001  2
24   	000000000 00000000 00000000 0011000  2
7   	000000000 00000000 00000000 0000111  3
38   	000000000 00000000 00000000 0100110  3
41   	000000000 00000000 00000000 0101001  3
-10   	100000000 00000000 00000000 0001010  3
-17   	100000000 00000000 00000000 0010001  3
-6   	100000000 00000000 00000000 0000110  3
-10   	100000000 00000000 00000000 0001010  3
39   	000000000 00000000 00000000 0100111  4
-26   	100000000 00000000 00000000 0011010  4
23   	000000000 00000000 00000000 0010111  4
43   	000000000 00000000 00000000 0101011  4
-21   	100000000 00000000 00000000 0010101  4
-22   	100000000 00000000 00000000 0010110  4
-88   	100000000 00000000 00000000 1011000  4
46   	000000000 00000000 00000000 0101110  4
-21   	100000000 00000000 00000000 0010101  4
62   	000000000 00000000 00000000 0111110  5
-53   	100000000 00000000 00000000 0110101  5
-57   	100000000 00000000 00000000 0111001  5
-59   	100000000 00000000 00000000 0111011  6

Sorted sequence: 
0   	000000000 00000000 00000000 0000000  0
0   	000000000 00000000 00000000 0000000  0
0   	000000000 00000000 00000000 0000000  0
4   	000000000 00000000 00000000 0000100  1
17   	000000000 00000000 00000000 0010001  2
6   	000000000 00000000 00000000 0000110  2
18   	000000000 00000000 00000000 0010010  2
17   	000000000 00000000 00000000 0010001  2
-16   	100000000 00000000 00000000 0010000  2
9   	000000000 00000000 00000000 0001001  2
36   	000000000 00000000 00000000 0100100  2
17   	000000000 00000000 00000000 0010001  2
35   	000000000 00000000 00000000 0100011  3
44   	000000000 00000000 00000000 0101100  3
-6   	100000000 00000000 00000000 0000110  3
-5   	100000000 00000000 00000000 0000101  3
-72   	100000000 00000000 00000000 1001000  3
-3   	100000000 00000000 00000000 0000011  3
82   	000000000 00000000 00000000 1010010  3
38   	000000000 00000000 00000000 0100110  3
-10   	100000000 00000000 00000000 0001010  3
-36   	100000000 00000000 00000000 0100100  3
7   	000000000 00000000 00000000 0000111  3
49   	000000000 00000000 00000000 0110001  3
21   	000000000 00000000 00000000 0010101  3
37   	000000000 00000000 00000000 0100101  3
21   	000000000 00000000 00000000 0010101  3
-65   	100000000 00000000 00000000 1000001  3
26   	000000000 00000000 00000000 0011010  3
-20   	100000000 00000000 00000000 0010100  3
-18   	100000000 00000000 00000000 0010010  3
19   	000000000 00000000 00000000 0010011  3
29   	000000000 00000000 00000000 0011101  4
-21   	100000000 00000000 00000000 0010101  4
51   	000000000 00000000 00000000 0110011  4
-41   	100000000 00000000 00000000 0101001  4
-44   	100000000 00000000 00000000 0101100  4
51   	000000000 00000000 00000000 0110011  4
-11   	100000000 00000000 00000000 0001011  4
43   	000000000 00000000 00000000 0101011  4
-37   	100000000 00000000 00000000 0100101  4
-41   	100000000 00000000 00000000 0101001  4
83   	000000000 00000000 00000000 1010011  4
46   	000000000 00000000 00000000 0101110  4
-21   	100000000 00000000 00000000 0010101  4
-7   	100000000 00000000 00000000 0000111  4
-84   	100000000 00000000 00000000 1010100  4
29   	000000000 00000000 00000000 0011101  4
-7   	100000000 00000000 00000000 0000111  4
45   	000000000 00000000 00000000 0101101  4
-35   	100000000 00000000 00000000 0100011  4
75   	000000000 00000000 00000000 1001011  4
-35   	100000000 00000000 00000000 0100011  4
-51   	100000000 00000000 00000000 0110011  5
-43   	100000000 00000000 00000000 0101011  5
59   	000000000 00000000 00000000 0111011  5
-54   	100000000 00000000 00000000 0110110  5
-27   	100000000 00000000 00000000 0011011  5
-60   	100000000 00000000 00000000 0111100  5
-27   	100000000 00000000 00000000 0011011  5
31   	000000000 00000000 00000000 0011111  5
-61   	100000000 00000000 00000000 0111101  6
-31   	100000000 00000000 00000000 0011111  6
-93   	100000000 00000000 00000000 1011101  6

Sorted sequence: 
0   	000000000 00000000 00000000 0000000  0
32   	000000000 00000000 00000000 0100000  1
1   	000000000 00000000 00000000 0000001  1
2   	000000000 00000000 00000000 0000010  1
1   	000000000 00000000 00000000 0000001  1
1   	000000000 00000000 00000000 0000001  1
4   	000000000 00000000 00000000 0000100  1
8   	000000000 00000000 00000000 0001000  1
6   	000000000 00000000 00000000 0000110  2
34   	000000000 00000000 00000000 0100010  2
3   	000000000 00000000 00000000 0000011  2
-32   	100000000 00000000 00000000 0100000  2
10   	000000000 00000000 00000000 0001010  2
34   	000000000 00000000 00000000 0100010  2
12   	000000000 00000000 00000000 0001100  2
-8   	100000000 00000000 00000000 0001000  2
-2   	100000000 00000000 00000000 0000010  2
-16   	100000000 00000000 00000000 0010000  2
-8   	100000000 00000000 00000000 0001000  2
-8   	100000000 00000000 00000000 0001000  2
68   	000000000 00000000 00000000 1000100  2
-8   	100000000 00000000 00000000 0001000  2
34   	000000000 00000000 00000000 0100010  2
-4   	100000000 00000000 00000000 0000100  2
10   	000000000 00000000 00000000 0001010  2
-8   	100000000 00000000 00000000 0001000  2
6   	000000000 00000000 00000000 0000110  2
24   	000000000 00000000 00000000 0011000  2
10   	000000000 00000000 00000000 0001010  2
-16   	100000000 00000000 00000000 0010000  2
66   	000000000 00000000 00000000 1000010  2
24   	000000000 00000000 00000000 0011000  2
12   	000000000 00000000 00000000 0001100  2
20   	000000000 00000000 00000000 0010100  2
48   	000000000 00000000 00000000 0110000  2
33   	000000000 00000000 00000000 0100001  2
18   	000000000 00000000 00000000 0010010  2
-1   	100000000 00000000 00000000 0000001  2
-40   	100000000 00000000 00000000 0101000  3
38   	000000000 00000000 00000000 0100110  3
50   	000000000 00000000 00000000 0110010  3
49   	000000000 00000000 00000000 0110001  3
-48   	100000000 00000000 00000000 0110000  3
-36   	100000000 00000000 00000000 0100100  3
81   	000000000 00000000 00000000 1010001  3
-6   	100000000 00000000 00000000 0000110  3
28   	000000000 00000000 00000000 0011100  3
50   	000000000 00000000 00000000 0110010  3
67   	000000000 00000000 00000000 1000011  3
-12   	100000000 00000000 00000000 0001100  3
-6   	100000000 00000000 00000000 0000110  3
42   	000000000 00000000 00000000 0101010  3
-10   	100000000 00000000 00000000 0001010  3
14   	000000000 00000000 00000000 0001110  3
19   	000000000 00000000 00000000 0010011  3
69   	000000000 00000000 00000000 1000101  3
13   	000000000 00000000 00000000 0001101  3
97   	000000000 00000000 00000000 1100001  3
14   	000000000 00000000 00000000 0001110  3
7   	000000000 00000000 00000000 0000111  3
13   	000000000 00000000 00000000 0001101  3
-68   	100000000 00000000 00000000 1000100  3
-10   	100000000 00000000 00000000 0001010  3
7   	000000000 00000000 00000000 0000111  3
21   	000000000 00000000 00000000 0010101  3
-40   	100000000 00000000 00000000 0101000  3
41   	000000000 00000000 00000000 0101001  3
-17   	100000000 00000000 00000000 0010001  3
56   	000000000 00000000 00000000 0111000  3
-18   	100000000 00000000 00000000 0010010  3
14   	000000000 00000000 00000000 0001110  3
19   	000000000 00000000 00000000 0010011  3
67   	000000000 00000000 00000000 1000011  3
74   	000000000 00000000 00000000 1001010  3
-66   	100000000 00000000 00000000 1000010  3
56   	000000000 00000000 00000000 0111000  3
37   	000000000 00000000 00000000 0100101  3
-17   	100000000 00000000 00000000 0010001  3
-6   	100000000 00000000 00000000 0000110  3
53   	000000000 00000000 00000000 0110101  4
51   	000000000 00000000 00000000 0110011  4
27   	000000000 00000000 00000000 0011011  4
29   	000000000 00000000 00000000 0011101  4
-41   	100000000 00000000 00000000 0101001  4
-21   	100000000 00000000 00000000 0010101  4
-38   	100000000 00000000 00000000 0100110  4
23   	000000000 00000000 00000000 0010111  4
23   	000000000 00000000 00000000 0010111  4
-7   	100000000 00000000 00000000 0000111  4
-37   	100000000 00000000 00000000 0100101  4
-49   	100000000 00000000 00000000 0110001  4
-42   	100000000 00000000 00000000 0101010  4
-67   	100000000 00000000 00000000 1000011  4
23   	000000000 00000000 00000000 0010111  4
-14   	100000000 00000000 00000000 0001110  4
-7   	100000000 00000000 00000000 0000111  4
54   	000000000 00000000 00000000 0110110  4
